------------------------------------------------------------------------
Logging started at 03/07/2022 - 01:46:21
File                 : 03-07
Version              : 3.8.0
Computer             : Name: DESKTOP-BQCMI69 || Mac: 00:e0:51:42:17:b3
------------------------------------------------------------------------
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
[02:08:19]: INFO - monitor: Monitor(x=0, y=0, width=1360, height=768, width_mm=410, height_mm=256, name='\\\\.\\DISPLAY1', is_primary=True) connected!
[02:08:19]: INFO - monitor: Monitor(x=1360, y=0, width=1366, height=768, width_mm=344, height_mm=194, name='\\\\.\\DISPLAY2', is_primary=False) connected!
